Original_Date,Year,Month,Day,Site,Species,Count,Date
11/25/07,2007,November,25,PET,Egretta thula,2,2007-11-25
11/25/07,2007,November,25,PET,Gallinula galeata,235,2007-11-25
11/25/07,2007,November,25,PET,Jacana jacana,10,2007-11-25
11/25/07,2007,November,25,PET,Nannopterum brasilianum,6,2007-11-25
11/25/07,2007,November,25,PET,Pardirallus nigricans,3,2007-11-25
11/25/07,2007,November,25,PET,Tringa melanoleuca,4,2007-11-25
11/25/07,2007,November,25,PET,Tringa solitaria,1,2007-11-25
12/9/07,2007,December,9,Embu,Actitis macularius,3,2007-12-09
12/9/07,2007,December,9,Embu,Amazonetta brasiliensis,12,2007-12-09
12/9/07,2007,December,9,Embu,Anas bahamensis,4,2007-12-09
12/9/07,2007,December,9,Embu,Ardea alba,2,2007-12-09
12/9/07,2007,December,9,Embu,Ardea cocoi,1,2007-12-09
12/9/07,2007,December,9,Embu,Bartramia longicauda,1,2007-12-09
12/9/07,2007,December,9,Embu,Butorides striata,1,2007-12-09
12/9/07,2007,December,9,Embu,Dendrocygna viduata,6,2007-12-09
12/9/07,2007,December,9,Embu,Gallinula galeata,25,2007-12-09
12/9/07,2007,December,9,Embu,Gallinago paraguaiae,7,2007-12-09
12/9/07,2007,December,9,Embu,Jacana jacana,18,2007-12-09
12/9/07,2007,December,9,Embu,Nycticorax nycticorax,3,2007-12-09
12/9/07,2007,December,9,Embu,Pardirallus nigricans,2,2007-12-09
12/9/07,2007,December,9,Embu,Tringa flavipes,150,2007-12-09
12/9/07,2007,December,9,Embu,Tringa melanoleuca,35,2007-12-09
12/9/07,2007,December,9,Embu,Tringa solitaria,3,2007-12-09
12/9/07,2007,December,9,PET,Actitis macularius,4,2007-12-09
12/9/07,2007,December,9,PET,Amazonetta brasiliensis,39,2007-12-09
12/9/07,2007,December,9,PET,Anas bahamensis,8,2007-12-09
12/9/07,2007,December,9,PET,Aramus guarauna,4,2007-12-09
12/9/07,2007,December,9,PET,Ardea alba,3,2007-12-09
12/9/07,2007,December,9,PET,Ardea cocoi,1,2007-12-09
12/9/07,2007,December,9,PET,Butorides striata,4,2007-12-09
12/9/07,2007,December,9,PET,Dendrocygna bicolor,20,2007-12-09
12/9/07,2007,December,9,PET,Dendrocygna viduata,12,2007-12-09
